,lambd,p,nnz,k
0,0.375,29,,3.0
1,0.375,23,,23.0
2,0.375,37,,12.0
3,0.375,22,,22.0
4,0.375,33,,3.0
5,0.375,21,,21.0
6,0.375,38,,3.0
7,0.375,27,,6.0
8,0.375,23,,23.0
9,0.375,22,,22.0
10,0.375,35,,33.0
11,0.375,21,,21.0
12,0.375,31,,29.0
13,0.375,17,,7.0
14,0.375,29,,0.0
15,0.375,28,,28.0
16,0.375,33,,7.0
17,0.375,38,,31.0
18,0.375,23,,11.0
19,0.375,31,,31.0
20,0.375,19,,19.0
21,0.375,40,,10.0
22,0.375,25,,3.0
23,0.375,43,,43.0
24,0.375,24,,24.0
25,0.375,22,,5.0
26,0.375,28,,5.0
27,0.375,20,,20.0
28,0.375,28,,28.0
29,0.375,38,,3.0
30,0.375,16,,16.0
31,0.375,25,,5.0
32,0.375,24,,0.0
33,0.375,16,,16.0
34,0.375,26,,5.0
35,0.375,29,,26.0
36,0.375,42,,42.0
37,0.375,30,,0.0
38,0.375,36,,36.0
39,0.375,36,,14.0
40,0.375,36,,36.0
41,0.375,31,,19.0
42,0.375,27,,4.0
43,0.375,27,,16.0
44,0.375,58,,58.0
45,0.375,20,,20.0
46,0.375,36,,19.0
47,0.375,32,,6.0
48,0.375,30,,1.0
49,0.375,38,,38.0
50,0.375,35,,4.0
51,0.375,29,,3.0
52,0.375,18,,18.0
53,0.375,20,,20.0
54,0.375,32,,32.0
55,0.375,29,,21.0
56,0.375,34,,28.0
57,0.375,30,,3.0
58,0.375,41,,41.0
59,0.375,21,,0.0
60,0.375,37,,37.0
61,0.375,37,,4.0
62,0.375,39,,6.0
63,0.375,39,,5.0
64,0.375,14,,5.0
65,0.375,21,,21.0
66,0.375,35,,25.0
67,0.375,29,,9.0
68,0.375,25,,14.0
69,0.375,18,,18.0
70,0.375,35,,35.0
71,0.375,32,,9.0
72,0.375,33,,8.0
73,0.375,24,,24.0
74,0.375,28,,6.0
75,0.375,33,,33.0
76,0.375,17,,2.0
77,0.375,28,,15.0
78,0.375,18,,18.0
79,0.375,19,,19.0
80,0.375,23,,23.0
81,0.375,24,,4.0
82,0.375,29,,9.0
83,0.375,28,,28.0
84,0.375,31,,31.0
85,0.375,18,,0.0
86,0.375,30,,30.0
87,0.375,25,,25.0
88,0.375,37,,37.0
89,0.375,24,,4.0
90,0.375,25,,25.0
91,0.375,38,,38.0
92,0.375,12,,12.0
93,0.375,22,,11.0
94,0.375,26,,26.0
95,0.375,40,,40.0
96,0.375,30,,30.0
97,0.375,27,,0.0
98,0.375,28,,0.0
99,0.375,18,,18.0
100,0.375,42,,5.0
101,0.375,36,,21.0
102,0.375,15,,1.0
103,0.375,28,,13.0
104,0.375,24,,24.0
105,0.375,32,,7.0
106,0.375,54,,52.0
107,0.375,25,,0.0
108,0.375,28,,28.0
109,0.375,31,,20.0
110,0.375,32,,14.0
111,0.375,34,,34.0
112,0.375,33,,6.0
113,0.375,25,,6.0
114,0.375,31,,12.0
115,0.375,20,,3.0
116,0.375,19,,19.0
117,0.375,29,,29.0
118,0.375,21,,21.0
119,0.375,41,,41.0
120,0.375,29,,29.0
121,0.375,19,,0.0
122,0.375,29,,15.0
123,0.375,34,,8.0
124,0.375,30,,30.0
125,0.375,33,,13.0
126,0.375,31,,7.0
127,0.375,23,,0.0
128,0.375,44,,44.0
129,0.375,23,,23.0
130,0.375,25,,3.0
131,0.375,29,,19.0
132,0.375,34,,6.0
133,0.375,31,,31.0
134,0.375,38,,2.0
135,0.375,12,,0.0
136,0.375,23,,23.0
137,0.375,29,,29.0
138,0.375,24,,24.0
139,0.375,33,,9.0
140,0.375,27,,6.0
141,0.375,7,,7.0
142,0.375,41,,41.0
143,0.375,36,,10.0
144,0.375,27,,3.0
145,0.375,17,,3.0
146,0.375,34,,34.0
147,0.375,29,,13.0
148,0.375,22,,22.0
149,0.375,57,,57.0
150,0.375,29,,24.0
151,0.375,37,,37.0
152,0.375,27,,27.0
153,0.375,31,,0.0
154,0.375,28,,28.0
155,0.375,30,,30.0
156,0.375,18,,0.0
157,0.375,35,,35.0
158,0.375,36,,36.0
159,0.375,34,,0.0
160,0.375,35,,35.0
161,0.375,30,,30.0
162,0.375,24,,24.0
163,0.375,15,,13.0
164,0.375,40,,40.0
165,0.375,32,,32.0
166,0.375,31,,8.0
167,0.375,29,,0.0
168,0.375,25,,6.0
169,0.375,26,,0.0
170,0.375,28,,28.0
171,0.375,32,,5.0
172,0.375,31,,31.0
173,0.375,28,,28.0
174,0.375,24,,6.0
175,0.375,36,,36.0
176,0.375,32,,8.0
177,0.375,29,,29.0
178,0.375,27,,4.0
179,0.375,44,,21.0
180,0.375,36,,0.0
181,0.375,30,,30.0
182,0.375,24,,24.0
183,0.375,37,,7.0
184,0.375,26,,3.0
185,0.375,24,,17.0
186,0.375,17,,10.0
187,0.375,25,,7.0
188,0.375,18,,0.0
189,0.375,35,,6.0
190,0.375,37,,7.0
191,0.375,20,,5.0
192,0.375,27,,27.0
193,0.375,20,,3.0
194,0.375,26,,9.0
195,0.375,29,,6.0
196,0.375,28,,28.0
197,0.375,31,,7.0
198,0.375,30,,30.0
199,0.375,28,,27.0
200,0.375,22,,22.0
201,0.375,27,,27.0
202,0.375,35,,35.0
203,0.375,29,,29.0
204,0.375,20,,5.0
205,0.375,48,,48.0
206,0.375,33,,33.0
207,0.375,17,,17.0
208,0.375,42,,0.0
209,0.375,33,,29.0
210,0.375,34,,34.0
211,0.375,39,,10.0
212,0.375,33,,9.0
213,0.375,27,,3.0
214,0.375,12,,12.0
215,0.375,26,,0.0
216,0.375,38,,34.0
217,0.375,28,,28.0
218,0.375,31,,5.0
219,0.375,27,,3.0
220,0.375,49,,16.0
221,0.375,32,,32.0
222,0.375,16,,16.0
223,0.375,42,,42.0
224,0.375,24,,10.0
225,0.375,34,,34.0
226,0.375,34,,33.0
227,0.375,18,,9.0
228,0.375,36,,36.0
229,0.375,26,,26.0
230,0.375,23,,1.0
231,0.375,36,,36.0
232,0.375,28,,5.0
